location_id,year,month,context,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_or_more,total
3205309,2020,9,1,0,0,0,0,2,0,5,5,10,8,5,6,6,6,7,0,15,75
3205309,2020,9,2,0,0,0,0,0,0,0,0,0,1,1,4,0,3,1,2,11,23
3205309,2020,9,3,0,0,1,1,0,0,3,5,2,7,2,10,4,7,11,2,11,66
3205309,2020,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,20.0,66.66666666666667,0.0,50.0,14.285714285714286,0.0,73.33333333333333,30.666666666666668
3205309,2020,10,1,3,0,0,0,1,13,8,12,19,7,13,11,11,14,18,16,20,166
3205309,2020,10,2,1,0,0,0,0,0,0,1,3,1,1,1,1,3,7,5,11,35
3205309,2020,10,3,3,0,0,0,0,0,2,2,10,4,5,7,6,7,11,9,14,80
3205309,2020,10,4,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,15.789473684210526,14.285714285714286,7.6923076923076925,9.090909090909092,9.090909090909092,21.428571428571427,38.888888888888886,31.25,55.0,21.08433734939759
3205309,2020,11,1,0,0,1,0,0,3,8,12,9,2,11,15,16,12,11,13,36,150
3205309,2020,11,2,0,0,0,0,0,0,1,0,1,1,0,7,4,10,10,12,24,71
3205309,2020,11,3,0,0,0,0,0,1,1,1,5,4,4,7,7,7,6,3,20,66
3205309,2020,11,4,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,11.11111111111111,50.0,0.0,46.666666666666664,25.0,83.33333333333333,90.9090909090909,92.3076923076923,66.66666666666667,47.333333333333336
3205309,2020,12,1,0,1,0,1,1,0,6,4,15,4,8,6,16,15,14,7,28,126
3205309,2020,12,2,0,0,0,0,0,0,0,2,2,3,5,6,11,9,7,9,28,82
3205309,2020,12,3,0,0,0,1,0,1,0,2,5,1,4,3,8,9,4,9,19,66
3205309,2020,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.333333333333334,75.0,62.5,100.0,68.75,60.0,50.0,128.57142857142858,100.0,65.07936507936508
3205309,2021,1,1,1,0,1,0,1,1,2,3,1,0,1,3,1,2,1,0,2,20
3205309,2021,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,3,5,2,10,23
3205309,2021,1,3,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,10
